,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,TEAM,GP,OREB,OPP OREB,REB,OPP REB,POSS,OPP POSS,PTS,OPP PTS,PPP,OPP PPP,3PA%,OPP 3PA%,FTA%,OPP FTA%,DREB,OPP DREB,ORB%,OPP ORB%,DRB%,OPP DRB%,REB%,OPP REB%,TO%,OPP TO%,Margin,Unnamed: 0,Logo,FinalFour
0,Lafayette,W,67,54,21,58,0.362,10,34,0.294,15,25,0.6,17,43,13,9,1,9,17,19,52,0.365,10,34,0.294,6,16,0.375,8,32,14,4,2,14,21,Miami Hurricanes,36,17,8,43,32,58.559999999999995,62.4384,67,54,1.1441256830601094,0.8648523985239852,58.62068965517241,65.38461538461539,43.10344827586207,30.76923076923077,26,24,41.46341463414634,23.529411764705884,76.47058823529412,58.53658536585366,57.333333333333336,42.666666666666664,15.368852459016395,22.42209922099221,13,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
1,UNC Greensboro,W,79,65,31,58,0.534,13,27,0.481,4,4,1.0,7,31,19,3,3,14,17,24,58,0.414,8,24,0.333,9,13,0.692,8,25,18,6,0,10,13,Miami Hurricanes,36,7,8,31,25,64.0896,63.09119999999999,79,65,1.2326492909926103,1.0302546155406778,46.55172413793103,41.37931034482759,6.896551724137931,22.413793103448278,24,17,29.166666666666668,25.0,75.0,70.83333333333333,55.357142857142854,44.642857142857146,21.844417815058915,15.85007100831812,14,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
2,Florida A&M,W,87,61,35,66,0.53,7,23,0.304,10,14,0.714,9,29,22,15,5,10,13,26,53,0.491,4,10,0.4,5,9,0.556,8,29,15,6,3,22,13,Miami Hurricanes,36,9,8,29,29,70.2336,68.12159999999999,87,61,1.23872334609076,0.8954575347613681,34.84848484848485,18.867924528301888,21.21212121212121,16.9811320754717,20,21,30.0,28.571428571428573,71.42857142857143,70.0,50.0,50.0,14.238199380353564,32.295189778278846,26,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
3,Providence,W,74,64,27,63,0.429,4,13,0.308,16,18,0.889,11,33,7,6,3,9,18,21,50,0.42,5,21,0.238,17,22,0.773,3,24,7,4,4,14,16,Miami Hurricanes,36,11,3,33,24,66.1632,67.8528,74,64,1.118446508028632,0.9432182607055273,20.634920634920636,42.0,28.571428571428573,44.0,22,21,34.375,12.0,88.0,65.625,57.89473684210526,42.10526315789474,13.602727800348228,20.632899452933408,10,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
4,Maryland,L,70,88,28,62,0.452,5,20,0.25,9,12,0.75,6,16,8,6,1,10,21,30,50,0.6,9,21,0.429,19,23,0.826,10,37,12,3,3,17,12,Miami Hurricanes,36,6,10,16,37,68.4288,64.43520000000001,70,88,1.022961092405537,1.3657131505760824,32.25806451612903,42.0,19.35483870967742,46.0,10,27,18.181818181818183,50.0,50.0,81.81818181818181,30.18867924528302,69.81132075471699,14.61372989150767,26.383094954310685,-18,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
5,St. Francis (NY),W,79,56,28,54,0.519,5,15,0.333,18,26,0.692,8,34,15,13,6,12,8,20,56,0.357,7,19,0.368,9,12,0.75,8,24,9,7,3,18,14,Miami Hurricanes,36,8,8,34,24,66.66239999999999,68.4288,79,56,1.1850758448540708,0.8183688739244296,27.77777777777778,33.92857142857143,48.148148148148145,21.428571428571427,26,16,33.333333333333336,23.529411764705884,76.47058823529412,66.66666666666667,58.62068965517241,41.37931034482759,18.001152073732722,26.304713804713806,23,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
6,UCF,W,66,64,26,54,0.481,6,19,0.316,8,12,0.667,13,25,14,8,1,15,18,24,53,0.453,4,17,0.235,12,17,0.706,10,27,7,8,2,15,13,Miami Hurricanes,36,13,10,25,27,58.8288,62.860800000000005,66,64,1.1218994778067886,1.0181225819588677,35.18518518518518,32.075471698113205,22.22222222222222,32.075471698113205,12,17,43.333333333333336,45.45454545454545,54.54545454545455,56.666666666666664,48.07692307692308,51.92307692307692,25.49771540469974,23.862248014660963,2,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
7,Rutgers,W,68,61,26,53,0.491,6,18,0.333,10,12,0.833,7,27,13,9,7,13,6,25,67,0.373,7,21,0.333,4,4,1.0,14,34,14,9,2,15,12,Miami Hurricanes,36,7,14,27,34,61.7088,66.9696,68,61,1.101949802945447,0.9108610474006116,33.9622641509434,31.34328358208955,22.641509433962263,5.970149253731344,20,20,25.925925925925927,41.1764705882353,58.8235294117647,74.07407407407408,44.26229508196721,55.73770491803279,21.066687409251195,22.39822247706422,7,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
8,Louisville,W,80,53,32,64,0.5,6,22,0.273,10,11,0.909,10,39,18,10,7,16,17,17,57,0.298,3,20,0.15,16,18,0.889,8,31,6,6,1,18,12,Miami Hurricanes,36,10,8,39,31,71.8464,71.9232,80,53,1.113486549082487,0.7368971347214808,34.375,35.08771929824562,17.1875,31.57894736842105,29,23,30.303030303030305,21.62162162162162,78.37837837837837,69.6969696969697,55.714285714285715,44.285714285714285,22.26973098164974,25.02669514148425,27,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
9,Cornell,W,107,105,36,65,0.554,13,26,0.5,22,26,0.846,11,35,21,6,3,15,17,41,79,0.519,12,36,0.333,11,15,0.733,12,29,27,12,1,7,18,Miami Hurricanes,36,11,12,35,29,77.2224,77.37599999999999,107,105,1.3856083209017074,1.3570099255583128,40.0,45.56962025316456,40.0,18.9873417721519,24,17,39.285714285714285,33.333333333333336,66.66666666666667,60.714285714285715,54.6875,45.3125,19.42441571357534,9.04673283705542,2,25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,True
