,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,TEAM,GP,OREB,OPP OREB,REB,OPP REB,POSS,OPP POSS,PTS,OPP PTS,PPP,OPP PPP,3PA%,OPP 3PA%,FTA%,OPP FTA%,DREB,OPP DREB,ORB%,OPP ORB%,DRB%,OPP DRB%,REB%,OPP REB%,TO%,OPP TO%,Margin,Unnamed: 0,Logo,FinalFour
0,Bellarmine,W,125,50,37,69,0.536,7,17,0.412,44,57,0.772,21,55,18,20,11,14,24,15,57,0.263,4,18,0.222,16,25,0.64,7,20,6,7,1,28,40,LSU Tigers,34,21,7,55,20,83.5968,85.44,125,50,1.4952725463175625,0.5852059925093633,0.2463768115942029,0.3157894736842105,82.6086956521739,43.85964912280702,34,13,61.76470588235294,17.073170731707318,82.92682926829268,38.23529411764706,73.33333333333333,26.666666666666668,16.7470525187567,32.77153558052434,75,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
1,Mississippi Valley State,W,111,41,42,79,0.532,8,22,0.364,19,28,0.679,21,57,24,17,5,11,14,15,62,0.242,2,19,0.105,9,14,0.643,11,26,10,7,1,25,20,LSU Tigers,34,21,11,57,26,78.06719999999999,78.8736,111,41,1.421851942941466,0.5198190522557612,0.27848101265822783,0.3064516129032258,35.44303797468354,22.580645161290324,36,15,58.333333333333336,23.404255319148938,76.59574468085107,41.666666666666664,68.67469879518072,31.325301204819276,14.090424659780295,31.696283674131777,70,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
2,Western Carolina,W,107,34,36,67,0.537,5,14,0.357,30,41,0.732,19,56,20,11,6,7,10,9,61,0.148,5,27,0.185,11,13,0.846,11,22,5,2,3,17,27,LSU Tigers,34,19,11,56,22,70.1184,69.8112,107,34,1.5259903249361082,0.48702786945361204,0.208955223880597,0.4426229508196721,61.19402985074627,21.311475409836067,37,11,63.333333333333336,22.916666666666668,77.08333333333333,36.666666666666664,71.7948717948718,28.205128205128204,9.98311427528295,24.351393472680602,73,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
3,Houston Christian,W,101,47,41,76,0.539,6,10,0.6,13,18,0.722,21,45,23,9,5,12,8,15,59,0.254,8,24,0.333,9,10,0.9,10,23,7,7,8,22,19,LSU Tigers,34,21,10,45,23,71.9232,72.384,101,47,1.4042756718277274,0.6493147656940761,0.13157894736842105,0.4067796610169492,23.68421052631579,16.949152542372882,24,13,61.76470588235294,29.41176470588235,70.58823529411765,38.23529411764706,66.17647058823529,33.8235294117647,16.68446342765617,30.393457117595048,54,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
4,Northwestern State,W,100,45,37,75,0.493,7,21,0.333,19,26,0.731,20,52,20,18,7,18,18,16,52,0.308,5,23,0.217,8,15,0.533,3,22,11,9,4,28,20,LSU Tigers,34,20,3,52,22,81.0624,80.25599999999999,100,45,1.2336175588188854,0.5607057416267943,0.28,0.4423076923076923,34.666666666666664,28.846153846153847,32,19,51.282051282051285,8.571428571428571,91.42857142857143,48.717948717948715,70.27027027027027,29.72972972972973,22.205116058739936,34.88835725677831,55,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
5,George Mason,W,80,52,30,60,0.5,1,11,0.091,19,28,0.679,14,47,16,9,5,11,16,19,66,0.288,6,30,0.2,8,17,0.471,12,29,7,6,1,14,26,LSU Tigers,34,14,12,47,29,66.54719999999999,72.4608,80,52,1.202154260434699,0.7176293940999823,0.18333333333333332,0.45454545454545453,46.666666666666664,25.757575757575758,33,17,45.16129032258065,26.666666666666668,73.33333333333333,54.83870967741935,61.8421052631579,38.1578947368421,16.529621080977115,19.320791379614906,28,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
6,UAB,W,99,64,43,69,0.623,4,11,0.364,9,18,0.5,14,52,15,5,6,13,20,23,64,0.359,4,20,0.2,14,23,0.609,2,17,8,5,1,8,18,LSU Tigers,34,14,2,52,17,72.8832,76.9152,99,64,1.3583377239199157,0.8320852055250457,0.15942028985507245,0.3125,26.08695652173913,35.9375,38,15,48.275862068965516,5.0,95.0,51.724137931034484,75.3623188405797,24.63768115942029,17.83675799086758,10.401065069063073,35,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
7,Southeastern Louisiana,W,63,55,25,61,0.41,5,20,0.25,8,14,0.571,14,42,15,10,8,18,17,23,56,0.411,3,9,0.333,6,11,0.545,2,23,8,9,4,14,16,LSU Tigers,34,14,2,42,23,68.3136,69.9264,63,55,0.9222175379426645,0.7865412776862529,0.32786885245901637,0.16071428571428573,22.950819672131146,19.642857142857142,28,21,40.0,6.666666666666667,93.33333333333333,60.0,64.61538461538461,35.38461538461539,26.349072512647556,20.021050704740986,8,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
8,Tulane,W,85,72,33,60,0.55,9,15,0.6,10,19,0.526,8,29,18,6,5,13,14,28,59,0.475,9,27,0.333,7,11,0.636,6,23,17,7,1,13,18,LSU Tigers,34,8,6,29,23,70.4256,68.0064,85,72,1.206947473645947,1.0587238848108413,0.25,0.4576271186440678,31.666666666666668,18.64406779661017,21,17,32.0,22.22222222222222,77.77777777777777,68.0,55.76923076923077,44.23076923076923,18.45919665576154,19.115847920195748,13,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
9,Lamar,W,88,42,33,64,0.516,8,16,0.5,14,24,0.583,19,41,21,13,7,10,16,16,53,0.302,2,11,0.182,8,10,0.8,8,21,0,6,3,16,19,LSU Tigers,34,19,8,41,21,62.9376,62.784000000000006,88,42,1.3982102908277405,0.6689602446483179,0.25,0.20754716981132076,37.5,18.867924528301888,22,13,59.375,26.666666666666668,73.33333333333333,40.625,66.12903225806451,33.87096774193548,15.888753304860687,25.4841997961264,46,284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,True
